,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
first,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,,,,,,
part,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,,,,,,,,,,,,,
paint,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,,
foreign,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,,,,,,,,,,,,,,,,,,,,,,,
mildli,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
chief,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,,,,,,,,,,,,,,,,,,,,,,,
paus,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,
fight,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,,,
besid,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,
member,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,,,,,,,,,,,,,,,,,,,,,,
manag,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,
quot,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,
privat,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,,,,,,,,,,,
pink,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
guard,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,
sir,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,
chlorodyn,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
forev,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,
friend,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,,,,,,,,,,,
peremptori,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
seek,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,,
principl,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,
print,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,
knew,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,,
includ,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,
fate,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
chaprasss,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
belief,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,,,,,,,,,,,,,,,,,,
propos,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,
stori,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,,,,,
ought,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,,,
cover,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,
piec,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,,,,,,,,,,,,,,,,
thought,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,
diplomat,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
two,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Three And—An Extra.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The other Man.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/By word of mouth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,
ever,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/pig.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Cupids arrow.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The rescue of the pluffles.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The gate of a hundred sorrows.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Venus Annodomini.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Story of Muhammed din.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Miss Yougals sais.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Wressley of the foreign office.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,,,,,,
strong,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/False Dawn.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/yoked with an unbeliever.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/The brochkorst divorce case.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/In the pride of his youth.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Watches of the night.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,
valu,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/His chance in life.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,
leak,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,,,,,,,,,,,,,,,,,,,,,,,,
imposs,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Thrown Away.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Consequences.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Rout of hossars.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/To be held for reference.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/on the strength of a likeness.txt,/home/giri/Videos/6th Sem/Info retrieval/Dataset(Kipling)/Lispeth.txt,,,,,,,,,,,,,,,,,,,
